id_registro,fecha,turno,linea_produccion,fase,unidades_producidas,unidades_defectuosas,tiempo_produccion_min,tiempo_parada_min,hubo_parada,motivo_parada,operario_id
39831,25/01/2024,noch,A,tratamiento_termico,256,10,424,88,Sí,fallo_maquina,OP019
96511,2024/06/14,  noche,B,mecanizado,265,13,1995,0,n,,OP029
53025,2024/05/02,tarde,B,mecanizado,290,19,422,0,n,,OP059
19099,2023-06-28,NOCHE,,Mecanizado,259,15,502,115,S,fallo_maquina,OP052
46585,2024-03-03,tarde,B,tratamiento_termico,308,13,380,27,Sí,falta_material,OP060
76768,2023-08-07,tarde,C,expedicion,557,16,225,0,n,,OP057
80282,2024/11/27,maana,A,tratamiento_termico,345,9,393,0,NO,,OP068
13617,2023-03-29,mañana,A,tratamiento_termico,352,15,407,0,NO,,OP058
44237,29/07/2024,Mañana,A,expedicion,410,7,236,0,NO,,OP015
44795,2023-05-19,noches,A,expedicion,324,7,211,0,No,error_operario,OP073
97538,2023-07-01,tarde,A,mecanizado,289,13,451,0,no,,OP064
51114,16/09/2023,  noche,a,mecanizado,242,9,554,27,S,error_operario,OP011
77033,2023-01-11,mañana,A,tratamiento termico,337,17,386,0,NO,,OP055
85574,2024-07-19,tarde,B,CORTE,448,12,470,0,no,,OP014
15817,2023-08-31,  mañaña,A,tratamiento_termico,447,9,408,0,n,,OP014
10221,2023-03-25,noche,,mecanizado,216,17,490,0,No,,OP064
80575,2023-03-04,noche,A,mecanizdo,285,9,381,0,no,,OP030
97900,2024-06-02,mañana,B,expedicion,-44,4,244,0,no,,OP008
66531,2024-04-01,noche,B,tratamiento_termico,266,13,403,0,NO,,OP062
97062,2023-07-14,  mañana,B,control_calidad,514,44,294,0,n,,OP050
91678,2024-10-09,tarde,C,cortte,348,18,373,0,No,,OP064
26334,2023-08-22,noche,B,mecanizado,308,15,314,23,Yes,fallo_maquina,OP031
49363,2023-11-12,tarde,C,expedicion,370,5,245,0,No,,OP009
97410,2024-12-05,tarde,B,control calidad,276,15,362,0,NO,,OP030
62743,30-07-2024,Tarde,A,mecanizado,283,10,416,0,NO,,OP 025
82667,2024-04-30,noche,B,tratamiento_termicoo,338,10,507,0,NO,,
65108,2023/07/19,tarde ,B,corte,357,12,438,1,S,fallo_maquina,OP058
59695,2023-04-21,noches,C,tratamiento_termico,301,9,389,31,Yes,falta_material,OP049
32810,2023-12-01,mañana,B,expedicion,,8,233,0,No,,OP018
49446,01-04-2024,tarde,A,expedicion,504,13,212,0,0,,OP058
10053,27.02.2023,mañana,C,corte,0,3,546,0,No,,OP051
37549,2024-12-14,mañana,C,mecanizado,251,254,451,101,SI,mantenimiento,OP080
86019,20230726,tarde,B,tratamiento_termico,367,14,305,0,n,,OP-050
52237,2024-12-07,noche, A,mecanizado,207,9,416,27,NO,,OP043
67954,2024-02-05,  mañana,,expedicion,344,8,257,0,0,mantenimiento,OP080
77000,31-03-2024,mañana,B,mecanizado,356,17,310,15,sí,mantenimiento,OP039
32241,2023-07-29,noche,C,tratamiento_termicoo,340,20,438,0,0,,OP003
47196,08-03-2023,mañana,B,tratamiento termico,330,332,397,0,NO,,op026
92960,07-12-2024,maana,C,tratamiento termico,463,20,432,0,no,,OP048
22240,2024-01-16,noche,C,control_calidad,435,35,322,0,NO,,OP064
40784,17/09/2023,tarde,B,mecanizado,308,13,370,0,No,,
39444,10-12-2024,tarde,,expedicion,585,603,260,0,No,,OP063
29313,2024-02-09,tarde,B,corte,415,13,536,0,No,,OP065 
46500,2023-09-05,  tarde ,,mecanizado,,0,445,110,si,mantenimiento, OP055
90120,2024-01-19,tarde,B,expedicion,0,7,203,0,NO,,OP050
19545,2023-12-26,maana,A,control_calidad,453,33,300,1,Sí,mantenimiento,OP059
92544,2023-11-27,noche,AA,corte,-9,9,564,0,0,,OP060
60328,2023-02-19,mañana,B,control_calidad ,385,32,271,0,no,,OP010
41979,2024-10-31,NOCHE,A,expedicion,414,8,208,0,no,,OP078
10726,2023-01-22,noche,C,control_calidad,,6,337,0,no,,OP046
23970,2023-05-21,mañana,A,control_calidad,435,32,325,0,No,,OP006
38683,2023-01-12,noche,A,tratamiento_termico,271,276,401,27,1,error_operario,OP062
77889,2024-07-08,mañaña,A,cortte,410,15,366,0,0,,OP53
83060,2024-03-18,tarde,A,tratamiento_termico,359,14,345,0,No,,op066
25906,2023-03-18,mañana,C,mecanizado,271,,511,76,Yes,falta_material,OP040 
70901,2024-12-05,noche,,expedicion,418,7,294,0,0,,OP033
83259,2023-08-22,tarde,,tratamiento_termico,257,6,409,0,0,,op079
68008,12-03-2024,noche,B,mecanizado,252,9,496,35,Yes,error_operario,OP048
76162,2024-07-04,tarde,B,control_calidad,528,43,3531,0,NO,,OP071
81810,22-02-2023,tarde,B,tratamiento_termico,372,11,368,0,no,,OP014
30861,2024-12-04,mañana,,corte,449,7,487,0,No,,OP35
72216,2023-11-21,Mañana,B ,expedicion,-11,1,270,0,NO,,OP-032
42406,2023-08-14,  mañana,B,expedicion,447,12,259,0,n,, OP050
46347,20-11-2024,noche,A,expedicion,355,10,292,0,no,,OP049
78327,2023-10-08,tarde,B ,control_calidad ,507,44,283,0,no,,OP050
41358,2024-04-01,mañaña,B,tratamiento_termico,361,13,339,38,Sí,faltamaterial,OP007
20155,2024/12/13,mañana,B,tratamiento_termico,340,14,341,46,S,fallo_maquina,OP012
40735,2023-06-30,tarde,,mecaniado,-13,9,328,65,si,errror_operario,OP016
51904,30/06/2024,mañana,A,expedicion,358,2,256,0,No,,OP017
20561,2024-04-18,mañana,C,expedicion,455,14,270,16,1,error_operario,OP071
40311,2024-06-16,noche,C,tratamiento_termico,273,11,462,0,no,,Op048
30028,2024-01-18,tarde,A,mecanizado,341,26,435,65,yes,fallo_maquina,OP057
18418,2023-07-29,tarde,,mecanizado,224,13,331,12,1,error operario,OP010
53369,2024-05-05,tarde,C,corte,381,9,433,8,Sí,error_operario,OP052
64496,2024-01-12,noche,B,control_calidad,301,,282,0,0,, OP020
65069,2024-10-12,mañana,A,control_calidad,573,59,292,14,SI,error_operario,OP020
86556,09/03/2023,tarde ,A,mecanizado,352,18,501,0,NO,,OP 061
12560,2023-12-05,tarde,C,expedicion,406,6,224,0,No,,OP035
85456,2024-02-19,noche,B,mecanizado,276,12,427,0,n,,OP070
10772,2023-11-03,mañana,C,tratamiento_termico,424,19,335,0,n,falta_material,OP016
49139,2024-02-10,tarde,A,expedicion,473,7,229,0,no,,OP002
64921,2024-12-15,mañana,A,tratamiento_termico,360,15,294,0,NO,,OP22
81582,2023/02/10,mañana,B,tratamiento_termicoo,305,20,407,0,0,,op078
38906,13/09/2024,mañana,B,control_calidad,454,34,286,0,n,,OP040
45774,2023-02-07,noche,c,control_calidad,337,30,301,0,NO,,OP056
13804,2024-08-24,noche,B,tratamiento_termico,259,8,395,34,yes,Error_operario,OP51
97670,2024-12-25,tarde,,mecanizado,-11,4,376,0,NO,,OP031
62994,04-07-2023,mañana,C,expedicion,531,547,249,0,No,,OP065
71261,2024-09-18,noche,línea A,control_calidadd,327,14,537,2961,Yes,mantenimiento, OP061
91560,2023-08-25,tare,B,corte,435,17,543,0,no,error_operario,OP031
61645,2023-10-08,noche,,tratamiento_termico,315,16,429,0,0,, OP015
96900,2023-07-25,tarde,C,control_calidad,,2,342,0,No,,OP054
83259,2023-10-23,noche,C,mecanizado,307,12,5964,95,yes,error_operario,OP044
70515,2023-05-06,noche,A,corte,331,8,537,0,no,,op012
44099,2024-07-01,noche,B,expediccion,266,16,466,0,No,,OP062
37742,2023-08-21,noches,B,tratamiento_termico,298,4,456,330,Yes,error_operario,OP001 
54236,2024-07-28,tare,B,expedicion,462,10,241,3,Yes,error_operario,OP038
59692,2023-05-21,tarde,,control_calidad,548,51,377,0,NO,falta_material,OP042
65255,2024-09-05,Tarde,B,tratamiento_termico,363,21,428,0,No,,OP071
20735,2024-08-14,noch,C,corte,472,20,396,0,n,,OP007
80702,2024-05-03,  tarde,A,expedicion,419,7,245,0,No,,OP014
55870,2023-06-23,noche,B,expedicion,361,8,269,0,n,,OP028
18993,2023-05-20,noche,C,mecanizado,300,9,377,1564,1,fallo_maquina,OP033
95426,2024-11-18,noche,A,corte,311,11,551,7,0,,OP002
14067,20241025,tarde,B,expedicion,441,11,181,0,No,,OP032
36130,2024-03-19,mañana,A,expedicion,412,6,294,0,NO,,OP0061
91439,2023-08-18,noche,línea A,mecanizdo,242,15,430,35,Sí,fallo_maquina,OP015
26544,2024/11/05,NOCHE,C,CORTE ,397,10,611,0,0,,OP068 
24993,2023-12-02,noch,B,mecanizado,329,16,415,0,NO,,OP078
38569,2023-09-08,tarde,A,control_calidad,407,30,,7,SI,fallo_maquina ,OP060
43586,2024-07-15,mañana,A,corte,,0,500,0,NO,,OP027
31992,20230914,noche,A,tratamiento_termico,241,13,464,19,1,error_operario,OP043
25012,2023-01-01,  tarde,,expedicion,473,,253,0,no,,OP021
31465,2023-07-22,tarde,B,mecanizado ,,3,450,0,NO,,op009
24168,2024-06-29,tarde,A,mecanizado,257,7,436,114,Yes,fallo_maquina,OP058
50888,2023-09-24,noche,A,tratamiento_termico,352,14,419,0,no,,OP007
59192,05-05-2024,tare,A,mecanizado,269,10,510,0,0,,OP010
35995,2023-09-23,noche,A,control_calidad,377,18,329,0,no,,OP010
92213,2024-04-16,tarde,,corte,383,7,478,0,no,,OP075
49529,2024-03-25,noch,A,Expedicion,419,,170,0,n,,OP065
88697,2023/06/01,  noche,B,corte,392,15,458,0,no,,OP065
84177,25/09/2023,noche,B,tratamiento_termico,253,8,393,129,SI,falta_material,OP048
55508,2024-01-20,noche,C,control_calidad,424,32,284,0,0,,OP080
96706,2023-05-09,tarde,b,mecanizdo,360,13,301,0,no,,OP023
76317,18-07-2023,mañana,A,mecanizado,287,9,415,0,NO,,OP040
11658,2023-05-14,noche,B ,tratamiento_termico,252,10,382,35,S,error operario,OP021
74251,2023-02-13,mañana,B,mecanizado,274,10,448,4,si,falta_material,OP038
57472,2023-01-24,mañaña,C,expedicion ,544,5,266,0,n,,OP044
70258,2023-09-02,mañana,B,expedicion,572,15,250,0,No,,OP012
67080,2023-05-07,noche,,corte,385,10,568,0,NO,error_operario,OP005
78386,2024-06-01,tarde,,expedicion,457,12,267,6,no,,op004
45400,2024-07-16,noche,A,control_calidad,557,45,302,0,0,,
80539,2023-12-21,mañana,C,corte,360,15,452,6,yes,error_operario,
70931,11/06/2023,noche,A,tratamiento_termico,320,14,368,20,yes,mantenimiento,OP047
87656,2024-02-09,noche,C,mecanizado,321,13,486,0,no,,OP050
42177,2024-01-31,tarde,C,mecanizado,249,14,448,3,S,mantenimiento,OP063
21359,2023-05-27,noche,BC,corte,395,14,520,0,n,,OP031
69087,2023-05-20,mañana,B,corte,371,10,570,0,0,,OP073
70910,2023-01-17,tarde,,mecanizado,229,13,520,0,n,,OP 049
97580,2024-11-23,tarde,C,expedicion,522,15,238,0,No,,OP003
13761,2023-07-19, mañana,A,mecanizado,226,12,391,0,no,,OP072
52600,2023-02-01,mañana,B,mecanizado,366,21,489,0,NO,,OP067
37802,2023-10-19,Tarde,,CORTE,424,18,440,0,no,,OP019
43862,11-07-2024,noche,B,corte,311,15,485,0,no,,OP019
88139,2023-05-04,  mañana,B,mecanizado,314,15,405,12,sí,fallo maquina,OP062
46211,2024-09-06,tarde,A,control_calidad,488,36,338,0,NO,,OP004
77715,2023-10-13,noche,C,control_calidad,351,27,342,0,0,,OP019
21221,2024-05-22,noche,A,control_calidad,342,31,375,0,No,,OP072 
63271,2023-02-18,tare,C,tratamiento_termico,,8,348,0,No,,OP12
41499,2024-02-15,mañana,A,cortte,240,15,412,0,No,,OP66
94659,2023-12-20,  mañana,A,control calidad,268,14,379,0,0,,OP051
68743,2023-10-19, mañana,C,corte,349,7,509,0,n,,OP024
22196,2024-08-26,mañana,A,control_calidad,475,29,374,0,0,,OP0030
63005,2024-07-10,tarde,B,control_calidad,577,,308,0,n,,OP016
50135,2023-08-30,noch,A,Corte,395,413,477,0,No,,OP042
58368,2024-01-10,tarde,B,expedición,343,23,350,0,No,,OP042
79588,2024-07-24,noche,B,expedicion,386,3,,0,no,,OP078
82140,2024-09-04,tarde,B,tratamiento_termico,357,18,379,0,no,,OP058
69473,2023-02-06,tarde,A,expedicion,517,10,156,20,No,,
42951,2024-05-21,tarde,A,control_calidadd,304,8,419,11,SI,error_operario,OP0005
35242,2023-07-10,mañana,C,corte,343,12,517,0,0,,OP005
80236,2023-12-17,tarde ,C,expedicion,407,11,295,0,No,,OP018
34267,2023-08-16, mañana,C,Mecanizado,324,20,373,0,No,,OP062
73464,2023-06-25,noche,C,expedicion,390,8,275,0,0,,OP048
87278,2024-01-31,noch,C,control_calidad ,572,42,311,40,yes,mantenimiento,
78765,2024-12-22,mañana,A,tratamiento_termico,408,13,411,0,NO,,OP028
