id_registro;fecha;turno;linea_produccion;fase;unidades_producidas;unidades_defectuosas;tiempo_produccion_min;tiempo_parada_min;hubo_parada;motivo_parada;operario_id;registro_con_errores
75841;24/03/2024;mañana;A;tratamiento_termico;409;25;317;68;VERDADERO;desconocido;OP036;FALSO
52157;26/06/2024;noche;A;mecanizado;234;12;505;159;VERDADERO;desconocido;OP002;FALSO
34227;22/07/2023;tarde;C;mecanizado;301;18;429;88;VERDADERO;desconocido;OP074;FALSO
37521;11/09/2023;noche;A;mecanizado;;;439;109;VERDADERO;desconocido;OP009;FALSO
48469;15/02/2023;tarde;B;tratamiento_termico;;5;363;0;FALSO;;OP076;FALSO
23947;21/05/2024;noche;C;mecanizado;289;;428;0;FALSO;;OP030;FALSO
92544;27/11/2023;noche;;corte;;;564;0;FALSO;;OP060;FALSO
43586;15/07/2024;mañana;A;corte;;0;500;0;FALSO;;OP027;FALSO
11658;14/05/2023;noche;B;tratamiento_termico;252;10;382;35;VERDADERO;error_operario;OP021;FALSO
18285;03/12/2023;tarde;B;tratamiento_termico;372;;398;0;FALSO;;OP050;FALSO
54245;07/11/2023;noche;A;tratamiento_termico;;;369;12;VERDADERO;mantenimiento;OP066;FALSO
74044;12/02/2023;tarde;B;tratamiento_termico;384;14;336;0;FALSO;;OP066;FALSO
22208;18/10/2023;mañana;C;corte;422;10;513;0;FALSO;;OP030;FALSO
22208;18/10/2023;mañana;C;corte;422;10;513;0;FALSO;;OP030;FALSO
26637;28/04/2024;mañana;A;corte;;;507;0;FALSO;;OP049;FALSO
96816;03/12/2024;tarde;C;corte;430;21;442;72;VERDADERO;falta_material;OP011;FALSO
73142;16/01/2024;noche;A;control_calidad;;;387;0;FALSO;;OP016;FALSO
16322;06/05/2024;noche;C;mecanizado;313;23;488;0;FALSO;;OP071;FALSO
23113;16/12/2023;tarde;A;control_calidad;575;49;427;0;FALSO;;OP069;FALSO
22315;29/09/2024;mañana;B;corte;360;17;450;0;FALSO;;;FALSO
17148;13/01/2024;mañana;B;control_calidad;545;49;350;0;FALSO;;OP012;FALSO
91396;15/02/2023;noche;C;corte;336;8;625;0;FALSO;;OP010;FALSO
74217;18/06/2024;mañana;C;corte;407;12;530;0;FALSO;fallo_maquina;OP029;FALSO
69971;07/04/2023;mañana;;expedicion;478;12;243;0;FALSO;;OP035;FALSO
51482;26/09/2024;mañana;B;mecanizado;;10;406;50;VERDADERO;falta_material;OP011;FALSO
13278;26/07/2023;mañana;C;expedicion;483;11;236;288;VERDADERO;error_operario;OP065;FALSO
13278;26/07/2023;mañana;C;expedicion;483;11;236;288;VERDADERO;error_operario;OP065;FALSO
42098;20/12/2024;tarde;C;expedicion;434;4;233;0;FALSO;fallo_maquina;OP020;FALSO
23434;26/08/2023;mañana;C;expedicion;468;11;269;0;FALSO;;OP038;FALSO
65302;14/10/2023;mañana;C;tratamiento_termico;362;14;277;0;FALSO;;OP063;FALSO
76237;20/01/2024;mañana;B;tratamiento_termico;302;12;298;0;FALSO;;OP051;FALSO
83563;10/09/2024;noche;A;corte;307;9;565;22;VERDADERO;mantenimiento;OP047;FALSO
95181;12/01/2024;noche;A;control_calidad;432;37;309;0;FALSO;;OP007;FALSO
64987;18/06/2023;tarde;C;mecanizado;272;9;467;0;FALSO;;OP026;FALSO
10851;07/12/2023;mañana;A;mecanizado;275;19;;0;FALSO;;OP016;FALSO
54597;12/04/2023;mañana;A;control_calidad;400;40;307;0;FALSO;;OP038;FALSO
38221;20/07/2023;mañana;B;control_calidad;;;306;0;FALSO;;OP054;FALSO
59797;27/06/2023;tarde;B;mecanizado;334;15;392;0;FALSO;;OP042;FALSO
55082;30/08/2024;noche;A;corte;357;7;416;0;FALSO;;OP029;FALSO
30926;27/12/2023;noche;B;mecanizado;286;12;394;33;VERDADERO;desconocido;OP056;FALSO
61115;04/10/2024;noche;A;corte;396;7;444;0;FALSO;;;FALSO
70014;11/01/2023;mañana;A;tratamiento_termico;;;368;0;FALSO;;OP028;FALSO
86962;09/12/2024;noche;C;expedicion;427;9;327;0;FALSO;;;FALSO
28827;10/12/2023;mañana;C;corte;489;16;524;0;FALSO;;OP054;FALSO
42455;24/07/2024;mañana;B;control_calidad;436;32;252;0;FALSO;;OP031;FALSO
50907;25/03/2024;tarde;B;corte;454;9;503;15;VERDADERO;falta_material;OP050;FALSO
61157;21/07/2023;mañana;B;corte;395;7;450;0;FALSO;;OP023;FALSO
59615;22/12/2023;noche;A;tratamiento_termico;229;5;448;11;VERDADERO;fallo_maquina;OP004;FALSO
49117;25/11/2024;tarde;A;tratamiento_termico;377;18;526;31;VERDADERO;error_operario;OP010;FALSO
76540;04/01/2024;tarde;A;tratamiento_termico;400;21;388;20;FALSO;;OP041;FALSO
76540;04/01/2024;tarde;A;tratamiento_termico;400;21;388;20;FALSO;;OP041;FALSO
31174;22/02/2023;noche;B;mecanizado;253;13;432;15;VERDADERO;mantenimiento;OP031;FALSO
79514;27/07/2024;tarde;C;control_calidad;468;31;302;0;FALSO;;OP075;FALSO
88504;01/05/2023;tarde;A;mecanizado;259;13;;66;VERDADERO;error_operario;OP013;FALSO
12552;16/03/2023;noche;B;control_calidad;460;37;279;0;FALSO;;OP006;FALSO
57576;07/10/2024;tarde;B;mecanizado;407;22;512;0;FALSO;;OP048;FALSO
50306;25/08/2024;mañana;B;expedicion;313;8;245;0;FALSO;;OP023;FALSO
41571;04/08/2023;tarde;C;tratamiento_termico;326;8;287;0;FALSO;;OP078;FALSO
73699;23/04/2023;mañana;B;corte;379;9;461;19;VERDADERO;fallo_maquina;OP010;FALSO
79822;09/06/2024;mañana;B;corte;456;11;552;0;FALSO;;OP005;FALSO
26828;14/08/2023;tarde;B;expedicion;593;11;269;28;VERDADERO;fallo_maquina;OP023;FALSO
82063;29/08/2023;tarde;A;mecanizado;416;12;366;0;FALSO;;OP013;FALSO
79163;05/03/2024;tarde;B;control_calidad;482;36;367;0;FALSO;;OP063;FALSO
65461;09/08/2023;noche;B;tratamiento_termico;239;9;391;15;VERDADERO;falta_material;OP006;FALSO
80686;31/07/2023;noche;A;corte;418;;611;0;FALSO;;OP071;FALSO
36365;10/06/2023;noche;;mecanizado;310;15;382;0;FALSO;mantenimiento;OP065;FALSO
62296;24/08/2023;noche;B;control_calidad;450;39;366;0;FALSO;;OP054;FALSO
95180;08/04/2023;tarde;C;expedicion;339;18;402;0;FALSO;;OP074;FALSO
77839;28/07/2024;tarde;;control_calidad;;;323;0;FALSO;;OP004;FALSO
41499;15/02/2024;mañana;A;corte;240;15;412;0;FALSO;;;FALSO
57537;15/01/2023;mañana;;corte;;;637;0;FALSO;;OP079;FALSO
30032;19/12/2023;noche;A;mecanizado;210;6;378;38;VERDADERO;desconocido;OP071;FALSO
80284;14/04/2023;noche;C;control_calidad;371;35;317;0;FALSO;;OP073;FALSO
94012;26/05/2023;mañana;C;corte;;0;450;0;FALSO;;OP036;FALSO
38864;04/03/2024;tarde;B;tratamiento_termico;319;9;396;0;FALSO;;;FALSO
71213;24/01/2024;mañana;C;mecanizado;328;11;451;0;FALSO;;OP063;FALSO
17100;08/10/2024;mañana;C;expedicion;402;8;239;0;FALSO;;OP065;FALSO
94696;04/08/2023;tarde;A;mecanizado;343;15;412;0;FALSO;;OP014;FALSO
62772;09/12/2023;mañana;B;control_calidad;546;45;348;0;FALSO;;OP052;FALSO
24322;09/05/2024;tarde;A;expedicion;420;11;245;17;FALSO;;OP0039;FALSO
28373;07/06/2023;tarde;A;control_calidad;391;23;249;0;FALSO;;OP013;FALSO
46509;01/12/2023;mañana;B;expedicion;401;10;233;0;FALSO;;OP031;FALSO
19880;12/02/2024;mañana;B;mecanizado;208;15;499;5;VERDADERO;error_operario;OP005;FALSO
82132;13/06/2024;noche;A;corte;324;9;527;1;VERDADERO;error_operario;OP002;FALSO
95477;07/11/2023;noche;C;tratamiento_termico;353;18;480;0;FALSO;;OP055;FALSO
11934;12/12/2023;mañana;C;control_calidad;491;38;314;0;FALSO;;OP048;FALSO
40982;09/07/2024;tarde;A;tratamiento_termico;361;9;360;24;VERDADERO;mantenimiento;OP017;FALSO
62565;08/07/2023;tarde;C;tratamiento_termico;327;17;489;0;FALSO;;OP032;FALSO
31579;23/03/2024;mañana;C;control_calidad;565;43;306;0;FALSO;;OP036;FALSO
61173;15/08/2023;noche;A;expedicion;507;8;238;0;FALSO;;OP044;FALSO
69638;25/05/2024;noche;B;corte;331;9;442;0;FALSO;;OP068;FALSO
82845;31/01/2023;noche;B;control_calidad;376;;335;0;FALSO;;OP069;FALSO
73788;12/08/2023;tarde;A;control_calidad;432;43;317;0;FALSO;;OP014;FALSO
48890;29/05/2024;tarde;B;control_calidad;400;40;365;0;FALSO;;OP043;FALSO
17665;17/08/2024;tarde;C;mecanizado;353;27;396;0;FALSO;;OP032;FALSO
81066;24/01/2023;noche;C;corte;310;14;382;0;FALSO;;OP004;FALSO
51104;05/09/2023;noche;A;mecanizado;250;12;530;2;FALSO;;OP053;FALSO
26182;26/07/2023;noche;A;corte;348;12;591;0;FALSO;;OP014;FALSO
16678;10/06/2024;noche;B;corte;;;544;0;FALSO;;OP071;FALSO
15695;23/01/2024;mañana;A;expedicion;;9;442;39;VERDADERO;fallo_maquina;OP012;FALSO
25014;27/10/2023;tarde;A;corte;392;18;522;0;FALSO;;OP057;FALSO
42493;20/10/2024;mañana;B;mecanizado;371;18;357;35;VERDADERO;fallo_maquina;OP008;FALSO
54313;04/06/2023;noche;B;mecanizado;290;21;471;0;FALSO;;OP060;FALSO
86569;24/09/2023;noche;C;expedicion;442;12;238;16;VERDADERO;mantenimiento;OP047;FALSO
24029;11/10/2024;mañana;B;control_calidad;434;40;299;0;FALSO;;OP059;FALSO
89276;13/04/2024;noche;A;mecanizado;338;15;540;0;FALSO;;OP066;FALSO
54942;29/12/2023;mañana;C;expedicion;451;7;243;0;FALSO;;OP080;FALSO
93130;16/09/2024;mañana;B;expedicion;406;6;225;9;FALSO;;OP040;FALSO
76244;25/02/2024;mañana;A;mecanizado;262;18;392;0;FALSO;;OP018;FALSO
16658;30/07/2023;noche;B;corte;342;9;475;0;FALSO;;OP016;FALSO
65518;16/12/2023;mañana;B;control_calidad;529;32;296;0;FALSO;;OP014;FALSO
15778;05/09/2023;mañana;C;tratamiento_termico;311;17;374;0;FALSO;;OP043;FALSO
67912;05/10/2024;tarde;A;mecanizado;;5;329;0;FALSO;;OP033;FALSO
66057;11/10/2023;mañana;C;mecanizado;264;9;402;0;FALSO;;OP023;FALSO
24663;22/08/2023;tarde;C;control_calidad;385;29;328;0;FALSO;;;FALSO
29410;26/03/2024;mañana;B;corte;293;13;420;0;FALSO;;OP067;FALSO
15482;25/09/2023;tarde;;tratamiento_termico;369;21;333;0;FALSO;;;FALSO
15482;25/09/2023;tarde;;tratamiento_termico;369;21;333;0;FALSO;;;FALSO
15229;03/06/2024;noche;C;tratamiento_termico;318;16;471;0;FALSO;;OP059;FALSO
37535;25/06/2023;tarde;A;tratamiento_termico;367;15;380;5;VERDADERO;mantenimiento;OP077;FALSO
97416;09/08/2023;tarde;C;mecanizado;317;17;398;33;VERDADERO;mantenimiento;OP046;FALSO
83385;28/02/2024;mañana;C;mecanizado;339;;403;0;FALSO;;OP074;FALSO
63264;30/04/2024;tarde;B;control_calidad;481;42;346;0;FALSO;;OP011;FALSO
30257;12/09/2024;mañana;A;expedicion;;;215;0;FALSO;;OP023;FALSO
30257;12/09/2024;mañana;A;expedicion;;;215;0;FALSO;;OP023;FALSO
41029;20/12/2023;mañana;C;control_calidad;381;42;300;11;VERDADERO;mantenimiento;OP040;FALSO
33206;13/04/2023;noche;C;tratamiento_termico;307;11;480;0;FALSO;;OP032;FALSO
53540;03/10/2024;tarde;B;corte;420;14;456;0;FALSO;;OP068;FALSO
63964;07/08/2024;noche;A;corte;389;14;533;0;FALSO;;OP023;FALSO
42527;13/04/2024;tarde;A;expedicion;418;;215;8;FALSO;;OP043;FALSO
24168;15/02/2023;noche;C;control_calidad;521;50;345;0;FALSO;error_operario;OP049;FALSO
24168;15/02/2023;noche;C;control_calidad;521;50;345;0;FALSO;error_operario;OP049;FALSO
15075;06/09/2024;noche;C;mecanizado;304;11;437;11;VERDADERO;fallo_maquina;OP033;FALSO
39154;25/09/2023;mañana;A;control_calidad;400;21;446;35;VERDADERO;error_operario;OP024;FALSO
70332;15/01/2024;mañana;A;expedicion;339;6;248;5;FALSO;;;FALSO
39831;25/01/2024;noche;A;tratamiento_termico;256;10;424;88;VERDADERO;fallo_maquina;OP019;FALSO
96511;14/06/2024;noche;B;mecanizado;265;13;;0;FALSO;;OP029;FALSO
53025;02/05/2024;tarde;B;mecanizado;290;19;422;0;FALSO;;OP059;FALSO
46585;03/03/2024;tarde;B;tratamiento_termico;308;13;380;27;VERDADERO;falta_material;OP060;FALSO
76768;07/08/2023;tarde;C;expedicion;557;16;225;0;FALSO;;OP057;FALSO
80282;27/11/2024;mañana;A;tratamiento_termico;345;9;393;0;FALSO;;OP068;FALSO
13617;29/03/2023;mañana;A;tratamiento_termico;352;15;407;0;FALSO;;OP058;FALSO
44237;29/07/2024;mañana;A;expedicion;410;7;236;0;FALSO;;OP015;FALSO
44795;19/05/2023;noche;A;expedicion;324;7;211;0;FALSO;error_operario;OP073;FALSO
51114;16/09/2023;noche;A;mecanizado;242;9;554;27;VERDADERO;error_operario;OP011;FALSO
77033;11/01/2023;mañana;A;tratamiento_termico;337;17;386;0;FALSO;;OP055;FALSO
85574;19/07/2024;tarde;B;corte;448;12;470;0;FALSO;;OP014;FALSO
15817;31/08/2023;mañana;A;tratamiento_termico;447;9;408;0;FALSO;;OP014;FALSO
80575;04/03/2023;noche;A;mecanizado;285;9;381;0;FALSO;;OP030;FALSO
97900;02/06/2024;mañana;B;expedicion;;;244;0;FALSO;;OP008;FALSO
66531;01/04/2024;noche;B;tratamiento_termico;266;13;403;0;FALSO;;OP062;FALSO
97062;14/07/2023;mañana;B;control_calidad;514;44;294;0;FALSO;;OP050;FALSO
91678;09/10/2024;tarde;C;corte;348;18;373;0;FALSO;;OP064;FALSO
26334;22/08/2023;noche;B;mecanizado;308;15;314;23;VERDADERO;fallo_maquina;OP031;FALSO
49363;12/11/2023;tarde;C;expedicion;370;5;245;0;FALSO;;OP009;FALSO
97410;05/12/2024;tarde;B;control_calidad;276;15;362;0;FALSO;;OP030;FALSO
62743;30/07/2024;tarde;A;mecanizado;283;10;416;0;FALSO;;OP025;FALSO
82667;30/04/2024;noche;B;tratamiento_termico;338;10;507;0;FALSO;;;FALSO
65108;19/07/2023;tarde;B;corte;357;12;438;1;VERDADERO;fallo_maquina;OP058;FALSO
59695;21/04/2023;noche;C;tratamiento_termico;301;9;389;31;VERDADERO;falta_material;OP049;FALSO
32810;01/12/2023;mañana;B;expedicion;;8;233;0;FALSO;;OP018;FALSO
49446;04/01/2024;tarde;A;expedicion;504;13;212;0;FALSO;;OP058;FALSO
10053;27/02/2023;mañana;C;corte;;;546;0;FALSO;;OP051;FALSO
37549;14/12/2024;mañana;C;mecanizado;251;;451;101;VERDADERO;mantenimiento;OP080;FALSO
86019;26/07/2023;tarde;B;tratamiento_termico;367;14;305;0;FALSO;;OP050;FALSO
52237;07/12/2024;noche;A;mecanizado;207;9;416;27;FALSO;;OP043;FALSO
77000;31/03/2024;mañana;B;mecanizado;356;17;310;15;VERDADERO;mantenimiento;OP039;FALSO
32241;29/07/2023;noche;C;tratamiento_termico;340;20;438;0;FALSO;;OP003;FALSO
47196;03/08/2023;mañana;B;tratamiento_termico;330;;397;0;FALSO;;OP026;FALSO
92960;12/07/2024;mañana;C;tratamiento_termico;463;20;432;0;FALSO;;OP048;FALSO
22240;16/01/2024;noche;C;control_calidad;435;35;322;0;FALSO;;OP064;FALSO
40784;17/09/2023;tarde;B;mecanizado;308;13;370;0;FALSO;;;FALSO
29313;09/02/2024;tarde;B;corte;415;13;536;0;FALSO;;OP065;FALSO
90120;19/01/2024;tarde;B;expedicion;;;203;0;FALSO;;OP050;FALSO
19545;26/12/2023;mañana;A;control_calidad;453;33;300;1;VERDADERO;mantenimiento;OP059;FALSO
60328;19/02/2023;mañana;B;control_calidad;385;32;271;0;FALSO;;OP010;FALSO
41979;31/10/2024;noche;A;expedicion;414;8;208;0;FALSO;;OP078;FALSO
10726;22/01/2023;noche;C;control_calidad;;6;337;0;FALSO;;OP046;FALSO
23970;21/05/2023;mañana;A;control_calidad;435;32;325;0;FALSO;;OP006;FALSO
23970;21/05/2023;mañana;A;control_calidad;435;32;325;0;FALSO;;OP006;FALSO
23970;21/05/2023;mañana;A;control_calidad;435;32;325;0;FALSO;;OP006;FALSO
38683;12/01/2023;noche;A;tratamiento_termico;271;;401;27;VERDADERO;error_operario;OP062;FALSO
77889;08/07/2024;mañana;A;corte;410;15;366;0;FALSO;;;FALSO
83060;18/03/2024;tarde;A;tratamiento_termico;359;14;345;0;FALSO;;OP066;FALSO
25906;18/03/2023;mañana;C;mecanizado;271;;511;76;VERDADERO;falta_material;OP040;FALSO
83259;22/08/2023;tarde;;tratamiento_termico;257;6;409;0;FALSO;;OP079;FALSO
68008;03/12/2024;noche;B;mecanizado;252;9;496;35;VERDADERO;error_operario;OP048;FALSO
76162;04/07/2024;tarde;B;control_calidad;528;43;;0;FALSO;;OP071;FALSO
76162;04/07/2024;tarde;B;control_calidad;528;43;;0;FALSO;;OP071;FALSO
81810;22/02/2023;tarde;B;tratamiento_termico;372;11;368;0;FALSO;;OP014;FALSO
72216;21/11/2023;mañana;B;expedicion;;;270;0;FALSO;;OP032;FALSO
42406;14/08/2023;mañana;B;expedicion;447;12;259;0;FALSO;;OP050;FALSO
46347;20/11/2024;noche;A;expedicion;355;10;292;0;FALSO;;OP049;FALSO
78327;08/10/2023;tarde;B;control_calidad;507;44;283;0;FALSO;;OP050;FALSO
41358;01/04/2024;mañana;B;tratamiento_termico;361;13;339;38;VERDADERO;falta_material;OP007;FALSO
20155;13/12/2024;mañana;B;tratamiento_termico;340;14;341;46;VERDADERO;fallo_maquina;OP012;FALSO
51904;30/06/2024;mañana;A;expedicion;358;2;256;0;FALSO;;OP017;FALSO
20561;18/04/2024;mañana;C;expedicion;455;14;270;16;VERDADERO;error_operario;OP071;FALSO
40311;16/06/2024;noche;C;tratamiento_termico;273;11;462;0;FALSO;;OP048;FALSO
30028;18/01/2024;tarde;A;mecanizado;341;26;435;65;VERDADERO;fallo_maquina;OP057;FALSO
53369;05/05/2024;tarde;C;corte;381;9;433;8;VERDADERO;error_operario;OP052;FALSO
64496;12/01/2024;noche;B;control_calidad;301;;282;0;FALSO;;OP020;FALSO
65069;12/10/2024;mañana;A;control_calidad;573;59;292;14;VERDADERO;error_operario;OP020;FALSO
86556;09/03/2023;tarde;A;mecanizado;352;18;501;0;FALSO;;OP061;FALSO
12560;05/12/2023;tarde;C;expedicion;406;6;224;0;FALSO;;OP035;FALSO
85456;19/02/2024;noche;B;mecanizado;276;12;427;0;FALSO;;OP070;FALSO
10772;03/11/2023;mañana;C;tratamiento_termico;424;19;335;0;FALSO;falta_material;OP016;FALSO
49139;10/02/2024;tarde;A;expedicion;473;7;229;0;FALSO;;OP002;FALSO
64921;15/12/2024;mañana;A;tratamiento_termico;360;15;294;0;FALSO;;;FALSO
81582;10/02/2023;mañana;B;tratamiento_termico;305;20;407;0;FALSO;;OP078;FALSO
38906;13/09/2024;mañana;B;control_calidad;454;34;286;0;FALSO;;OP040;FALSO
45774;07/02/2023;noche;C;control_calidad;337;30;301;0;FALSO;;OP056;FALSO
13804;24/08/2024;noche;B;tratamiento_termico;259;8;395;34;VERDADERO;error_operario;;FALSO
62994;07/04/2023;mañana;C;expedicion;531;;249;0;FALSO;;OP065;FALSO
71261;18/09/2024;noche;A;control_calidad;327;14;537;;VERDADERO;mantenimiento;OP061;FALSO
91560;25/08/2023;tarde;B;corte;435;17;543;0;FALSO;error_operario;OP031;FALSO
96900;25/07/2023;tarde;C;control_calidad;;2;342;0;FALSO;;OP054;FALSO
70515;06/05/2023;noche;A;corte;331;8;537;0;FALSO;;OP012;FALSO
44099;01/07/2024;noche;B;expedicion;266;16;466;0;FALSO;;OP062;FALSO
44099;01/07/2024;noche;B;expedicion;266;16;466;0;FALSO;;OP062;FALSO
37742;21/08/2023;noche;B;tratamiento_termico;298;4;456;330;VERDADERO;error_operario;OP001;FALSO
54236;28/07/2024;tarde;B;expedicion;462;10;241;3;VERDADERO;error_operario;OP038;FALSO
65255;05/09/2024;tarde;B;tratamiento_termico;363;21;428;0;FALSO;;OP071;FALSO
20735;14/08/2024;noche;C;corte;472;20;396;0;FALSO;;OP007;FALSO
80702;03/05/2024;tarde;A;expedicion;419;7;245;0;FALSO;;OP014;FALSO
55870;23/06/2023;noche;B;expedicion;361;8;269;0;FALSO;;OP028;FALSO
18993;20/05/2023;noche;C;mecanizado;300;9;377;;VERDADERO;fallo_maquina;OP033;FALSO
95426;18/11/2024;noche;A;corte;311;11;551;7;FALSO;;OP002;FALSO
14067;25/10/2024;tarde;B;expedicion;441;11;181;0;FALSO;;OP032;FALSO
36130;19/03/2024;mañana;A;expedicion;412;6;294;0;FALSO;;OP0061;FALSO
91439;18/08/2023;noche;A;mecanizado;242;15;430;35;VERDADERO;fallo_maquina;OP015;FALSO
26544;05/11/2024;noche;C;corte;397;10;611;0;FALSO;;OP068;FALSO
24993;02/12/2023;noche;B;mecanizado;329;16;415;0;FALSO;;OP078;FALSO
43586;15/07/2024;mañana;A;corte;;0;500;0;FALSO;;OP027;FALSO
31992;14/09/2023;noche;A;tratamiento_termico;241;13;464;19;VERDADERO;error_operario;OP043;FALSO
31465;22/07/2023;tarde;B;mecanizado;;3;450;0;FALSO;;OP009;FALSO
50888;24/09/2023;noche;A;tratamiento_termico;352;14;419;0;FALSO;;OP007;FALSO
59192;05/05/2024;tarde;A;mecanizado;269;10;510;0;FALSO;;OP010;FALSO
35995;23/09/2023;noche;A;control_calidad;377;18;329;0;FALSO;;OP010;FALSO
49529;25/03/2024;noche;A;expedicion;419;;170;0;FALSO;;OP065;FALSO
88697;01/06/2023;noche;B;corte;392;15;458;0;FALSO;;OP065;FALSO
84177;25/09/2023;noche;B;tratamiento_termico;253;8;393;129;VERDADERO;falta_material;OP048;FALSO
84177;25/09/2023;noche;B;tratamiento_termico;253;8;393;129;VERDADERO;falta_material;OP048;FALSO
55508;20/01/2024;noche;C;control_calidad;424;32;284;0;FALSO;;OP080;FALSO
96706;09/05/2023;tarde;B;mecanizado;360;13;301;0;FALSO;;OP023;FALSO
96706;09/05/2023;tarde;B;mecanizado;360;13;301;0;FALSO;;OP023;FALSO
76317;18/07/2023;mañana;A;mecanizado;287;9;415;0;FALSO;;OP040;FALSO
74251;13/02/2023;mañana;B;mecanizado;274;10;448;4;VERDADERO;falta_material;OP038;FALSO
