id_registro,fecha,turno,linea_produccion,fase,unidades_producidas,unidades_defectuosas,tiempo_produccion_min,tiempo_parada_min,hubo_parada,motivo_parada,operario_id,fecha_carga,registro_con_errores
73142,2024-01-16,noche,A,control_calidad,,,387,0,f,,OP016,2026-04-27 18:34:50.227774,f
16322,2024-05-06,noche,C,mecanizado,313,23,488,0,f,,OP071,2026-04-27 18:34:50.227774,f
23113,2023-12-16,tarde,A,control_calidad,575,49,427,0,f,,OP069,2026-04-27 18:34:50.227774,f
22315,2024-09-29,mañana,B,corte,360,17,450,0,f,,,2026-04-27 18:34:50.227774,f
17148,2024-01-13,mañana,B,control_calidad,545,49,350,0,f,,OP012,2026-04-27 18:34:50.227774,f
91396,2023-02-15,noche,C,corte,336,8,625,0,f,,OP010,2026-04-27 18:34:50.227774,f
74217,2024-06-18,mañana,C,corte,407,12,530,0,f,fallo_maquina,OP029,2026-04-27 18:34:50.227774,f
69971,2023-04-07,mañana,,expedicion,478,12,243,0,f,,OP035,2026-04-27 18:34:50.227774,f
51482,2024-09-26,mañana,B,mecanizado,,10,406,50,t,falta_material,OP011,2026-04-27 18:34:50.227774,f
13278,2023-07-26,mañana,C,expedicion,483,11,236,288,t,error_operario,OP065,2026-04-27 18:34:50.227774,f
13278,2023-07-26,mañana,C,expedicion,483,11,236,288,t,error_operario,OP065,2026-04-27 18:34:50.227774,f
42098,2024-12-20,tarde,C,expedicion,434,4,233,0,f,fallo_maquina,OP020,2026-04-27 18:34:50.227774,f
23434,2023-08-26,mañana,C,expedicion,468,11,269,0,f,,OP038,2026-04-27 18:34:50.227774,f
65302,2023-10-14,mañana,C,tratamiento_termico,362,14,277,0,f,,OP063,2026-04-27 18:34:50.227774,f
76237,2024-01-20,mañana,B,tratamiento_termico,302,12,298,0,f,,OP051,2026-04-27 18:34:50.227774,f
83563,2024-09-10,noche,A,corte,307,9,565,22,t,mantenimiento,OP047,2026-04-27 18:34:50.227774,f
95181,2024-01-12,noche,A,control_calidad,432,37,309,0,f,,OP007,2026-04-27 18:34:50.227774,f
64987,2023-06-18,tarde,C,mecanizado,272,9,467,0,f,,OP026,2026-04-27 18:34:50.227774,f
10851,2023-12-07,mañana,A,mecanizado,275,19,,0,f,,OP016,2026-04-27 18:34:50.227774,f
54597,2023-04-12,mañana,A,control_calidad,400,40,307,0,f,,OP038,2026-04-27 18:34:50.227774,f
38221,2023-07-20,mañana,B,control_calidad,,,306,0,f,,OP054,2026-04-27 18:34:50.227774,f
59797,2023-06-27,tarde,B,mecanizado,334,15,392,0,f,,OP042,2026-04-27 18:34:50.227774,f
55082,2024-08-30,noche,A,corte,357,7,416,0,f,,OP029,2026-04-27 18:34:50.227774,f
30926,2023-12-27,noche,B,mecanizado,286,12,394,33,t,desconocido,OP056,2026-04-27 18:34:50.227774,f
61115,2024-10-04,noche,A,corte,396,7,444,0,f,,,2026-04-27 18:34:50.227774,f
70014,2023-01-11,mañana,A,tratamiento_termico,,,368,0,f,,OP028,2026-04-27 18:34:50.227774,f
86962,2024-12-09,noche,C,expedicion,427,9,327,0,f,,,2026-04-27 18:34:50.227774,f
28827,2023-12-10,mañana,C,corte,489,16,524,0,f,,OP054,2026-04-27 18:34:50.227774,f
42455,2024-07-24,mañana,B,control_calidad,436,32,252,0,f,,OP031,2026-04-27 18:34:50.227774,f
50907,2024-03-25,tarde,B,corte,454,9,503,15,t,falta_material,OP050,2026-04-27 18:34:50.227774,f
61157,2023-07-21,mañana,B,corte,395,7,450,0,f,,OP023,2026-04-27 18:34:50.227774,f
59615,2023-12-22,noche,A,tratamiento_termico,229,5,448,11,t,fallo_maquina,OP004,2026-04-27 18:34:50.227774,f
49117,2024-11-25,tarde,A,tratamiento_termico,377,18,526,31,t,error_operario,OP010,2026-04-27 18:34:50.227774,f
76540,2024-01-04,tarde,A,tratamiento_termico,400,21,388,20,f,,OP041,2026-04-27 18:34:50.227774,f
76540,2024-01-04,tarde,A,tratamiento_termico,400,21,388,20,f,,OP041,2026-04-27 18:34:50.227774,f
31174,2023-02-22,noche,B,mecanizado,253,13,432,15,t,mantenimiento,OP031,2026-04-27 18:34:50.227774,f
79514,2024-07-27,tarde,C,control_calidad,468,31,302,0,f,,OP075,2026-04-27 18:34:50.227774,f
88504,2023-05-01,tarde,A,mecanizado,259,13,,66,t,error_operario,OP013,2026-04-27 18:34:50.227774,f
12552,2023-03-16,noche,B,control_calidad,460,37,279,0,f,,OP006,2026-04-27 18:34:50.227774,f
57576,2024-10-07,tarde,B,mecanizado,407,22,512,0,f,,OP048,2026-04-27 18:34:50.227774,f
50306,2024-08-25,mañana,B,expedicion,313,8,245,0,f,,OP023,2026-04-27 18:34:50.227774,f
41571,2023-08-04,tarde,C,tratamiento_termico,326,8,287,0,f,,OP078,2026-04-27 18:34:50.227774,f
73699,2023-04-23,mañana,B,corte,379,9,461,19,t,fallo_maquina,OP010,2026-04-27 18:34:50.227774,f
79822,2024-06-09,mañana,B,corte,456,11,552,0,f,,OP005,2026-04-27 18:34:50.227774,f
26828,2023-08-14,tarde,B,expedicion,593,11,269,28,t,fallo_maquina,OP023,2026-04-27 18:34:50.227774,f
82063,2023-08-29,tarde,A,mecanizado,416,12,366,0,f,,OP013,2026-04-27 18:34:50.227774,f
79163,2024-03-05,tarde,B,control_calidad,482,36,367,0,f,,OP063,2026-04-27 18:34:50.227774,f
65461,2023-08-09,noche,B,tratamiento_termico,239,9,391,15,t,falta_material,OP006,2026-04-27 18:34:50.227774,f
80686,2023-07-31,noche,A,corte,418,,611,0,f,,OP071,2026-04-27 18:34:50.227774,f
36365,2023-06-10,noche,,mecanizado,310,15,382,0,f,mantenimiento,OP065,2026-04-27 18:34:50.227774,f
62296,2023-08-24,noche,B,control_calidad,450,39,366,0,f,,OP054,2026-04-27 18:34:50.227774,f
95180,2023-04-08,tarde,C,expedicion,339,18,402,0,f,,OP074,2026-04-27 18:34:50.227774,f
77839,2024-07-28,tarde,,control_calidad,,,323,0,f,,OP004,2026-04-27 18:34:50.227774,f
41499,2024-02-15,mañana,A,corte,240,15,412,0,f,,,2026-04-27 18:34:50.227774,f
57537,2023-01-15,mañana,,corte,,,637,0,f,,OP079,2026-04-27 18:34:50.227774,f
30032,2023-12-19,noche,A,mecanizado,210,6,378,38,t,desconocido,OP071,2026-04-27 18:34:50.227774,f
80284,2023-04-14,noche,C,control_calidad,371,35,317,0,f,,OP073,2026-04-27 18:34:50.227774,f
94012,2023-05-26,mañana,C,corte,,0,450,0,f,,OP036,2026-04-27 18:34:50.227774,f
38864,2024-03-04,tarde,B,tratamiento_termico,319,9,396,0,f,,,2026-04-27 18:34:50.227774,f
71213,2024-01-24,mañana,C,mecanizado,328,11,451,0,f,,OP063,2026-04-27 18:34:50.227774,f
17100,2024-10-08,mañana,C,expedicion,402,8,239,0,f,,OP065,2026-04-27 18:34:50.227774,f
94696,2023-08-04,tarde,A,mecanizado,343,15,412,0,f,,OP014,2026-04-27 18:34:50.227774,f
62772,2023-12-09,mañana,B,control_calidad,546,45,348,0,f,,OP052,2026-04-27 18:34:50.227774,f
24322,2024-05-09,tarde,A,expedicion,420,11,245,17,f,,OP0039,2026-04-27 18:34:50.227774,f
28373,2023-06-07,tarde,A,control_calidad,391,23,249,0,f,,OP013,2026-04-27 18:34:50.227774,f
46509,2023-12-01,mañana,B,expedicion,401,10,233,0,f,,OP031,2026-04-27 18:34:50.227774,f
19880,2024-02-12,mañana,B,mecanizado,208,15,499,5,t,error_operario,OP005,2026-04-27 18:34:50.227774,f
82132,2024-06-13,noche,A,corte,324,9,527,1,t,error_operario,OP002,2026-04-27 18:34:50.227774,f
95477,2023-11-07,noche,C,tratamiento_termico,353,18,480,0,f,,OP055,2026-04-27 18:34:50.227774,f
11934,2023-12-12,mañana,C,control_calidad,491,38,314,0,f,,OP048,2026-04-27 18:34:50.227774,f
40982,2024-07-09,tarde,A,tratamiento_termico,361,9,360,24,t,mantenimiento,OP017,2026-04-27 18:34:50.227774,f
62565,2023-07-08,tarde,C,tratamiento_termico,327,17,489,0,f,,OP032,2026-04-27 18:34:50.227774,f
31579,2024-03-23,mañana,C,control_calidad,565,43,306,0,f,,OP036,2026-04-27 18:34:50.227774,f
61173,2023-08-15,noche,A,expedicion,507,8,238,0,f,,OP044,2026-04-27 18:34:50.227774,f
69638,2024-05-25,noche,B,corte,331,9,442,0,f,,OP068,2026-04-27 18:34:50.227774,f
82845,2023-01-31,noche,B,control_calidad,376,,335,0,f,,OP069,2026-04-27 18:34:50.227774,f
73788,2023-08-12,tarde,A,control_calidad,432,43,317,0,f,,OP014,2026-04-27 18:34:50.227774,f
48890,2024-05-29,tarde,B,control_calidad,400,40,365,0,f,,OP043,2026-04-27 18:34:50.227774,f
17665,2024-08-17,tarde,C,mecanizado,353,27,396,0,f,,OP032,2026-04-27 18:34:50.227774,f
81066,2023-01-24,noche,C,corte,310,14,382,0,f,,OP004,2026-04-27 18:34:50.227774,f
51104,2023-09-05,noche,A,mecanizado,250,12,530,2,f,,OP053,2026-04-27 18:34:50.227774,f
26182,2023-07-26,noche,A,corte,348,12,591,0,f,,OP014,2026-04-27 18:34:50.227774,f
16678,2024-06-10,noche,B,corte,,,544,0,f,,OP071,2026-04-27 18:34:50.227774,f
15695,2024-01-23,mañana,A,expedicion,,9,442,39,t,fallo_maquina,OP012,2026-04-27 18:34:50.227774,f
25014,2023-10-27,tarde,A,corte,392,18,522,0,f,,OP057,2026-04-27 18:34:50.227774,f
42493,2024-10-20,mañana,B,mecanizado,371,18,357,35,t,fallo_maquina,OP008,2026-04-27 18:34:50.227774,f
54313,2023-06-04,noche,B,mecanizado,290,21,471,0,f,,OP060,2026-04-27 18:34:50.227774,f
86569,2023-09-24,noche,C,expedicion,442,12,238,16,t,mantenimiento,OP047,2026-04-27 18:34:50.227774,f
24029,2024-10-11,mañana,B,control_calidad,434,40,299,0,f,,OP059,2026-04-27 18:34:50.227774,f
89276,2024-04-13,noche,A,mecanizado,338,15,540,0,f,,OP066,2026-04-27 18:34:50.227774,f
54942,2023-12-29,mañana,C,expedicion,451,7,243,0,f,,OP080,2026-04-27 18:34:50.227774,f
93130,2024-09-16,mañana,B,expedicion,406,6,225,9,f,,OP040,2026-04-27 18:34:50.227774,f
76244,2024-02-25,mañana,A,mecanizado,262,18,392,0,f,,OP018,2026-04-27 18:34:50.227774,f
16658,2023-07-30,noche,B,corte,342,9,475,0,f,,OP016,2026-04-27 18:34:50.227774,f
65518,2023-12-16,mañana,B,control_calidad,529,32,296,0,f,,OP014,2026-04-27 18:34:50.227774,f
15778,2023-09-05,mañana,C,tratamiento_termico,311,17,374,0,f,,OP043,2026-04-27 18:34:50.227774,f
67912,2024-10-05,tarde,A,mecanizado,,5,329,0,f,,OP033,2026-04-27 18:34:50.227774,f
66057,2023-10-11,mañana,C,mecanizado,264,9,402,0,f,,OP023,2026-04-27 18:34:50.227774,f
24663,2023-08-22,tarde,C,control_calidad,385,29,328,0,f,,,2026-04-27 18:34:50.227774,f
29410,2024-03-26,mañana,B,corte,293,13,420,0,f,,OP067,2026-04-27 18:34:50.227774,f
15482,2023-09-25,tarde,,tratamiento_termico,369,21,333,0,f,,,2026-04-27 18:34:50.227774,f
15482,2023-09-25,tarde,,tratamiento_termico,369,21,333,0,f,,,2026-04-27 18:34:50.227774,f
15229,2024-06-03,noche,C,tratamiento_termico,318,16,471,0,f,,OP059,2026-04-27 18:34:50.227774,f
37535,2023-06-25,tarde,A,tratamiento_termico,367,15,380,5,t,mantenimiento,OP077,2026-04-27 18:34:50.227774,f
97416,2023-08-09,tarde,C,mecanizado,317,17,398,33,t,mantenimiento,OP046,2026-04-27 18:34:50.227774,f
83385,2024-02-28,mañana,C,mecanizado,339,,403,0,f,,OP074,2026-04-27 18:34:50.227774,f
63264,2024-04-30,tarde,B,control_calidad,481,42,346,0,f,,OP011,2026-04-27 18:34:50.227774,f
30257,2024-09-12,mañana,A,expedicion,,,215,0,f,,OP023,2026-04-27 18:34:50.227774,f
30257,2024-09-12,mañana,A,expedicion,,,215,0,f,,OP023,2026-04-27 18:34:50.227774,f
41029,2023-12-20,mañana,C,control_calidad,381,42,300,11,t,mantenimiento,OP040,2026-04-27 18:34:50.227774,f
33206,2023-04-13,noche,C,tratamiento_termico,307,11,480,0,f,,OP032,2026-04-27 18:34:50.227774,f
53540,2024-10-03,tarde,B,corte,420,14,456,0,f,,OP068,2026-04-27 18:34:50.227774,f
63964,2024-08-07,noche,A,corte,389,14,533,0,f,,OP023,2026-04-27 18:34:50.227774,f
42527,2024-04-13,tarde,A,expedicion,418,,215,8,f,,OP043,2026-04-27 18:34:50.227774,f
24168,2023-02-15,noche,C,control_calidad,521,50,345,0,f,error_operario,OP049,2026-04-27 18:34:50.227774,f
24168,2023-02-15,noche,C,control_calidad,521,50,345,0,f,error_operario,OP049,2026-04-27 18:34:50.227774,f
15075,2024-09-06,noche,C,mecanizado,304,11,437,11,t,fallo_maquina,OP033,2026-04-27 18:34:50.227774,f
39154,2023-09-25,mañana,A,control_calidad,400,21,446,35,t,error_operario,OP024,2026-04-27 18:34:50.227774,f
70332,2024-01-15,mañana,A,expedicion,339,6,248,5,f,,,2026-04-27 18:34:50.227774,f
39831,2024-01-25,noche,A,tratamiento_termico,256,10,424,88,t,fallo_maquina,OP019,2026-04-27 18:34:50.227774,f
96511,2024-06-14,noche,B,mecanizado,265,13,,0,f,,OP029,2026-04-27 18:34:50.227774,f
53025,2024-05-02,tarde,B,mecanizado,290,19,422,0,f,,OP059,2026-04-27 18:34:50.227774,f
46585,2024-03-03,tarde,B,tratamiento_termico,308,13,380,27,t,falta_material,OP060,2026-04-27 18:34:50.227774,f
76768,2023-08-07,tarde,C,expedicion,557,16,225,0,f,,OP057,2026-04-27 18:34:50.227774,f
80282,2024-11-27,mañana,A,tratamiento_termico,345,9,393,0,f,,OP068,2026-04-27 18:34:50.227774,f
13617,2023-03-29,mañana,A,tratamiento_termico,352,15,407,0,f,,OP058,2026-04-27 18:34:50.227774,f
44237,2024-07-29,mañana,A,expedicion,410,7,236,0,f,,OP015,2026-04-27 18:34:50.227774,f
44795,2023-05-19,noche,A,expedicion,324,7,211,0,f,error_operario,OP073,2026-04-27 18:34:50.227774,f
51114,2023-09-16,noche,A,mecanizado,242,9,554,27,t,error_operario,OP011,2026-04-27 18:34:50.227774,f
77033,2023-01-11,mañana,A,tratamiento_termico,337,17,386,0,f,,OP055,2026-04-27 18:34:50.227774,f
85574,2024-07-19,tarde,B,corte,448,12,470,0,f,,OP014,2026-04-27 18:34:50.227774,f
15817,2023-08-31,mañana,A,tratamiento_termico,447,9,408,0,f,,OP014,2026-04-27 18:34:50.227774,f
80575,2023-03-04,noche,A,mecanizado,285,9,381,0,f,,OP030,2026-04-27 18:34:50.227774,f
97900,2024-06-02,mañana,B,expedicion,,,244,0,f,,OP008,2026-04-27 18:34:50.227774,f
66531,2024-04-01,noche,B,tratamiento_termico,266,13,403,0,f,,OP062,2026-04-27 18:34:50.227774,f
97062,2023-07-14,mañana,B,control_calidad,514,44,294,0,f,,OP050,2026-04-27 18:34:50.227774,f
91678,2024-10-09,tarde,C,corte,348,18,373,0,f,,OP064,2026-04-27 18:34:50.227774,f
26334,2023-08-22,noche,B,mecanizado,308,15,314,23,t,fallo_maquina,OP031,2026-04-27 18:34:50.227774,f
49363,2023-11-12,tarde,C,expedicion,370,5,245,0,f,,OP009,2026-04-27 18:34:50.227774,f
97410,2024-12-05,tarde,B,control_calidad,276,15,362,0,f,,OP030,2026-04-27 18:34:50.227774,f
62743,2024-07-30,tarde,A,mecanizado,283,10,416,0,f,,OP025,2026-04-27 18:34:50.227774,f
82667,2024-04-30,noche,B,tratamiento_termico,338,10,507,0,f,,,2026-04-27 18:34:50.227774,f
65108,2023-07-19,tarde,B,corte,357,12,438,1,t,fallo_maquina,OP058,2026-04-27 18:34:50.227774,f
59695,2023-04-21,noche,C,tratamiento_termico,301,9,389,31,t,falta_material,OP049,2026-04-27 18:34:50.227774,f
32810,2023-12-01,mañana,B,expedicion,,8,233,0,f,,OP018,2026-04-27 18:34:50.227774,f
49446,2024-01-04,tarde,A,expedicion,504,13,212,0,f,,OP058,2026-04-27 18:34:50.227774,f
10053,2023-02-27,mañana,C,corte,,,546,0,f,,OP051,2026-04-27 18:34:50.227774,f
37549,2024-12-14,mañana,C,mecanizado,251,,451,101,t,mantenimiento,OP080,2026-04-27 18:34:50.227774,f
86019,2023-07-26,tarde,B,tratamiento_termico,367,14,305,0,f,,OP050,2026-04-27 18:34:50.227774,f
52237,2024-12-07,noche,A,mecanizado,207,9,416,27,f,,OP043,2026-04-27 18:34:50.227774,f
77000,2024-03-31,mañana,B,mecanizado,356,17,310,15,t,mantenimiento,OP039,2026-04-27 18:34:50.227774,f
32241,2023-07-29,noche,C,tratamiento_termico,340,20,438,0,f,,OP003,2026-04-27 18:34:50.227774,f
47196,2023-08-03,mañana,B,tratamiento_termico,330,,397,0,f,,OP026,2026-04-27 18:34:50.227774,f
92960,2024-07-12,mañana,C,tratamiento_termico,463,20,432,0,f,,OP048,2026-04-27 18:34:50.227774,f
22240,2024-01-16,noche,C,control_calidad,435,35,322,0,f,,OP064,2026-04-27 18:34:50.227774,f
40784,2023-09-17,tarde,B,mecanizado,308,13,370,0,f,,,2026-04-27 18:34:50.227774,f
29313,2024-02-09,tarde,B,corte,415,13,536,0,f,,OP065,2026-04-27 18:34:50.227774,f
90120,2024-01-19,tarde,B,expedicion,,,203,0,f,,OP050,2026-04-27 18:34:50.227774,f
19545,2023-12-26,mañana,A,control_calidad,453,33,300,1,t,mantenimiento,OP059,2026-04-27 18:34:50.227774,f
60328,2023-02-19,mañana,B,control_calidad,385,32,271,0,f,,OP010,2026-04-27 18:34:50.227774,f
41979,2024-10-31,noche,A,expedicion,414,8,208,0,f,,OP078,2026-04-27 18:34:50.227774,f
10726,2023-01-22,noche,C,control_calidad,,6,337,0,f,,OP046,2026-04-27 18:34:50.227774,f
23970,2023-05-21,mañana,A,control_calidad,435,32,325,0,f,,OP006,2026-04-27 18:34:50.227774,f
23970,2023-05-21,mañana,A,control_calidad,435,32,325,0,f,,OP006,2026-04-27 18:34:50.227774,f
23970,2023-05-21,mañana,A,control_calidad,435,32,325,0,f,,OP006,2026-04-27 18:34:50.227774,f
38683,2023-01-12,noche,A,tratamiento_termico,271,,401,27,t,error_operario,OP062,2026-04-27 18:34:50.227774,f
77889,2024-07-08,mañana,A,corte,410,15,366,0,f,,,2026-04-27 18:34:50.227774,f
83060,2024-03-18,tarde,A,tratamiento_termico,359,14,345,0,f,,OP066,2026-04-27 18:34:50.227774,f
25906,2023-03-18,mañana,C,mecanizado,271,,511,76,t,falta_material,OP040,2026-04-27 18:34:50.227774,f
83259,2023-08-22,tarde,,tratamiento_termico,257,6,409,0,f,,OP079,2026-04-27 18:34:50.227774,f
68008,2024-12-03,noche,B,mecanizado,252,9,496,35,t,error_operario,OP048,2026-04-27 18:34:50.227774,f
76162,2024-07-04,tarde,B,control_calidad,528,43,,0,f,,OP071,2026-04-27 18:34:50.227774,f
76162,2024-07-04,tarde,B,control_calidad,528,43,,0,f,,OP071,2026-04-27 18:34:50.227774,f
81810,2023-02-22,tarde,B,tratamiento_termico,372,11,368,0,f,,OP014,2026-04-27 18:34:50.227774,f
72216,2023-11-21,mañana,B,expedicion,,,270,0,f,,OP032,2026-04-27 18:34:50.227774,f
42406,2023-08-14,mañana,B,expedicion,447,12,259,0,f,,OP050,2026-04-27 18:34:50.227774,f
46347,2024-11-20,noche,A,expedicion,355,10,292,0,f,,OP049,2026-04-27 18:34:50.227774,f
78327,2023-10-08,tarde,B,control_calidad,507,44,283,0,f,,OP050,2026-04-27 18:34:50.227774,f
41358,2024-04-01,mañana,B,tratamiento_termico,361,13,339,38,t,falta_material,OP007,2026-04-27 18:34:50.227774,f
20155,2024-12-13,mañana,B,tratamiento_termico,340,14,341,46,t,fallo_maquina,OP012,2026-04-27 18:34:50.227774,f
51904,2024-06-30,mañana,A,expedicion,358,2,256,0,f,,OP017,2026-04-27 18:34:50.227774,f
20561,2024-04-18,mañana,C,expedicion,455,14,270,16,t,error_operario,OP071,2026-04-27 18:34:50.227774,f
